STABBR,EMP,AP,EST,POP20,REGION_ID,REGIONS,2022REALGDP,STPOP,ZCTAGDP
MA,7616,447397,475,16984,22,ISONE,604357.7,7029917,1460.104177161693
MA,7616,323244,514,27558,22,ISONE,604357.7,7029917,2369.1445427591816
MA,214,9307,15,13253,22,ISONE,604357.7,7029917,1139.3523704618417
MA,818,36543,99,4900,22,ISONE,604357.7,7029917,421.25002756078055
MA,1597,66152,229,15423,22,ISONE,604357.7,7029917,1325.9059540959017
MA,124,3829,19,1317,22,ISONE,604357.7,7029917,113.22169108113225
MA,115,4920,14,980,22,ISONE,604357.7,7029917,84.25000551215611
MA,465,23807,83,3711,22,ISONE,604357.7,7029917,319.0324188322565
MA,26,1269,8,1201,22,ISONE,604357.7,7029917,103.24924144908111
MA,74,3546,14,519,22,ISONE,604357.7,7029917,44.61811516409084
MA,5074,219468,307,23656,22,ISONE,604357.7,7029917,2033.691969791393
MA,8119,396264,531,29781,22,ISONE,604357.7,7029917,2560.2545042423685
MA,2810,148856,74,2158,22,ISONE,604357.7,7029917,185.52195091350293
MA,197,10083,22,1011,22,ISONE,604357.7,7029917,86.9150567069284
MA,3502,170353,415,17896,22,ISONE,604357.7,7029917,1538.5082639240263
MA,7682,372843,498,16417,22,ISONE,604357.7,7029917,1411.3595311153745
MA,133,6441,16,714,22,ISONE,604357.7,7029917,61.38214687314231
MA,1169,47194,219,11708,22,ISONE,604357.7,7029917,1006.5296576901263
MA,108,4875,17,1406,22,ISONE,604357.7,7029917,120.8729670919301
MA,121,5501,26,483,22,ISONE,604357.7,7029917,41.5232170024198
MA,723,30989,132,6092,22,ISONE,604357.7,7029917,523.7255444694439
MA,113,5833,34,1977,22,ISONE,604357.7,7029917,169.961490711768
MA,4760,176448,295,5325,22,ISONE,604357.7,7029917,457.7870197471748
MA,896,43234,110,4966,22,ISONE,604357.7,7029917,426.9240075238442
MA,267,14553,16,706,22,ISONE,604357.7,7029917,60.6943917261043
MA,1382,78656,63,2522,22,ISONE,604357.7,7029917,216.81481010373238
MA,266,12153,35,1511,22,ISONE,604357.7,7029917,129.89975339680396
MA,16925,853603,865,38238,22,ISONE,604357.7,7029917,3287.297664054924
MA,185,6909,33,2467,22,ISONE,604357.7,7029917,212.08649346784605
MA,1634,127981,35,2031,22,ISONE,604357.7,7029917,174.60383795427455
MA,64,2721,27,1889,22,ISONE,604357.7,7029917,162.3961840943499
MA,4048,218394,406,21002,22,ISONE,604357.7,7029917,1805.5291997615332
MA,783,43219,141,8152,22,ISONE,604357.7,7029917,700.8224948317312
MA,10758,585116,711,14461,22,ISONE,604357.7,7029917,1243.203397664581
MA,1688,80381,199,10910,22,ISONE,604357.7,7029917,937.9260817730849
MA,68,4726,6,215,22,ISONE,604357.7,7029917,18.483419576646494
MA,72,4380,33,1904,22,ISONE,604357.7,7029917,163.68572499504614
MA,3027,148473,238,8428,22,ISONE,604357.7,7029917,724.5500474045425
MA,19,455,8,577,22,ISONE,604357.7,7029917,49.60433998011641
MA,121,3275,18,1486,22,ISONE,604357.7,7029917,127.75051856231018
MA,87,2400,21,1366,22,ISONE,604357.7,7029917,117.43419135674006
MA,966,46744,120,6224,22,ISONE,604357.7,7029917,535.073504395571
MA,49,2712,8,584,22,ISONE,604357.7,7029917,50.20612573377467
MA,3555,169657,303,18168,22,ISONE,604357.7,7029917,1561.8919389233188
MA,1980,87099,226,9237,22,ISONE,604357.7,7029917,794.0992866487613
MA,49,2218,10,701,22,ISONE,604357.7,7029917,60.26454475920555
MA,289,12103,39,2400,22,ISONE,604357.7,7029917,206.3265441114027
MA,70,2176,20,1684,22,ISONE,604357.7,7029917,144.7724584515009
MA,2018,95120,162,10565,22,ISONE,604357.7,7029917,908.2666410570707
MA,156,6205,31,2549,22,ISONE,604357.7,7029917,219.13598372498564
MA,13197,713500,834,41529,22,ISONE,604357.7,7029917,3570.222937667685
MA,334,15231,27,598,22,ISONE,604357.7,7029917,51.40969724109118
MA,14394,681549,940,28835,22,ISONE,604357.7,7029917,2478.927458105124
MA,73,2858,16,1343,22,ISONE,604357.7,7029917,115.45689530900577
MA,1147,34478,34,290,22,ISONE,604357.7,7029917,24.93112408012783
MA,3543,153375,296,14694,22,ISONE,604357.7,7029917,1263.2342663220631
MA,214,7911,48,2509,22,ISONE,604357.7,7029917,215.6972079897956
MA,94,4123,19,1147,22,ISONE,604357.7,7029917,98.60689420657455
MA,7553,478298,483,2545,22,ISONE,604357.7,7029917,218.79210615146664
MA,18699,1271083,527,23598,22,ISONE,604357.7,7029917,2028.7057449753672
MA,5299,247268,249,12051,22,ISONE,604357.7,7029917,1036.017159619381
MA,3465,162850,281,16165,22,ISONE,604357.7,7029917,1389.6952439836773
MA,2539,201660,138,11252,22,ISONE,604357.7,7029917,967.3276143089598
MA,1998,73195,252,27671,22,ISONE,604357.7,7029917,2378.8590842110934
MA,10026,677600,320,30968,22,ISONE,604357.7,7029917,2662.300174184133
MA,1261,47832,134,14296,22,ISONE,604357.7,7029917,1229.0184477569221
MA,3451,121541,149,14393,22,ISONE,604357.7,7029917,1237.357478914758
MA,899,26068,52,2647,22,ISONE,604357.7,7029917,227.56098427620125
MA,1653,49418,137,7024,22,ISONE,604357.7,7029917,603.849019099372
MA,2213,128432,130,9150,22,ISONE,604357.7,7029917,786.6199494247229
MA,22195,1297907,1269,45494,19,NYISO,604357.7,7029917,3911.091582418398
MA,1358,63545,154,8166,22,ISONE,604357.7,7029917,702.0260663390478
MA,32,1591,17,835,22,ISONE,604357.7,7029917,71.78444347209219
MA,171,9941,42,2430,22,ISONE,604357.7,7029917,208.90562591279524
MA,23,1076,3,217,19,NYISO,604357.7,7029917,18.655358363406
MA,443,23849,54,3258,19,NYISO,604357.7,7029917,280.0882836312292
MA,1108,68865,122,6324,19,NYISO,604357.7,7029917,543.6704437335462
MA,18,852,5,189,19,NYISO,604357.7,7029917,16.248215348772963
MA,4257,210749,402,8907,19,NYISO,604357.7,7029917,765.7293868334434
MA,134,7312,45,2733,22,ISONE,604357.7,7029917,234.95435210685986
MA,398,15671,48,1513,19,NYISO,604357.7,7029917,130.07169218356347
MA,1126,36190,92,2365,19,NYISO,604357.7,7029917,203.3176153431114
