REGIONS,perc0,perc15,perc30,perc45,perc60
CAISO,0.0,0.0,0.0,0.0,0.930258
ERCOT,0.0,0.0,0.571392,0.571392,0.0
FRCC,0.0,0.0,0.584768,0.584768,0.0
ISONE,0.0,0.0,0.366368,0.366368,0.366368
MISO,0.0,0.0,0.0,0.0,0.0
NYISO,0.0,0.0,0.0,0.0,0.585979
NorthernGridConnected,0.0,0.0,0.463372,0.0,0.0
NorthernGridUnconnected,0.0,0.0,0.0,0.111456,0.111456
NotOrder1000,0.0,0.0,0.050756,0.050756,0.050756
PJM,0.0,0.0,0.0,1.550176,1.550176
SCRTP,0.0,0.066144,0.0,0.0,0.066144
SERTP,0.0,0.891573,0.0,0.0,0.891573
SPP,0.0,0.0,0.359655,0.359655,0.0
WestConnect,0.0,0.239883,0.0,0.0,0.239883
WestConnectNonEnrolled,0.0,0.0,0.0,0.0,0.0
