REGIONS,-1.96SD,-1SD,Mean,1SD,1.96SD
CAISO,0.0,8.322559780821917,8.322559780821917,8.322559780821917,8.322559780821917
ERCOT,4.735475205479452,0.0,4.735475205479452,0.0,4.735475205479452
FRCC,3.196764493150685,3.196764493150685,3.196764493150685,0.0,0.0
ISONE,0.0,2.9128963835616437,2.9128963835616437,0.0,2.9128963835616437
MISO,0.0,0.0,0.0,0.0,0.0
NYISO,0.0,0.0,5.261589452054794,5.261589452054794,0.0
NorthernGridConnected,3.0846485479452053,0.0,0.0,3.0846485479452053,3.0846485479452053
NorthernGridUnconnected,0.8352190410958904,0.8352190410958904,0.8352190410958904,0.0,0.0
PJM,0.0,0.0,0.0,11.397449589041095,11.397449589041095
SCRTP,0.38451257534246575,0.0,0.0,0.0,0.0
SERTP,0.0,0.0,0.0,0.0,6.132121726027397
SPP,0.0,2.3351123287671234,0.0,0.0,0.0
WestConnect,0.0,1.63315498630137,0.0,1.63315498630137,0.0
WestConnectNonEnrolled,1.0670907397260274,0.0,0.0,1.0670907397260274,0.0
