REGIONS,perc0,perc15,perc30,perc45,perc60
CAISO,0.0,0.0,0.93,0.0,0.0
ERCOT,0.0,0.57,0.0,0.57,0.57
FRCC,0.0,0.0,0.58,0.0,0.58
ISONE,0.0,0.0,0.37,0.0,0.37
MISO,0.0,0.0,1.05,0.0,0.0
NYISO,0.0,0.59,0.0,0.0,0.59
NorthernGridConnected,0.0,0.0,0.0,0.0,0.46
NorthernGridUnconnected,0.0,0.0,0.0,0.11,0.11
NotOrder1000,0.0,0.0,0.0,0.05,0.05
PJM,0.0,0.0,0.0,1.55,1.55
SCRTP,0.0,0.07,0.07,0.07,0.0
SERTP,0.0,0.89,0.0,0.89,0.0
SPP,0.0,0.36,0.36,0.36,0.0
WestConnect,0.0,0.0,0.0,0.0,0.0
WestConnectNonEnrolled,0.0,0.0,0.0,0.0,0.16
