REGIONS,perc0,perc15,perc30,perc45,perc60
CAISO,0.0,0.0,0.0,0.0,8.620352684931508
ERCOT,0.0,0.0,5.467883397260274,5.467883397260274,0.0
FRCC,0.0,0.0,3.453930136986301,3.453930136986301,0.0
ISONE,0.0,0.0,3.1062519452054795,3.1062519452054795,3.1062519452054795
MISO,0.0,0.0,0.0,0.0,0.0
NYISO,0.0,0.0,0.0,0.0,5.617151589041097
NorthernGridConnected,0.0,0.0,3.3778397534246576,0.0,0.0
NorthernGridUnconnected,0.0,0.0,0.0,0.8291429315068493,0.8291429315068493
NotOrder1000,0.0,0.0,0.4238073698630137,0.4238073698630137,0.4238073698630137
PJM,0.0,0.0,0.0,12.551696164383563,12.551696164383563
SCRTP,0.0,0.4032085479452055,0.0,0.0,0.4032085479452055
SERTP,0.0,6.530126520547945,0.0,0.0,6.530126520547945
SPP,0.0,0.0,2.637870876712329,2.637870876712329,0.0
WestConnect,0.0,1.7081845753424658,0.0,0.0,1.7081845753424658
WestConnectNonEnrolled,0.0,0.0,0.0,0.0,0.0
