REGIONS,perc0,perc15,perc30,perc45,perc60
CAISO,0.0,0.0,0.0,0.0,36.669676
ERCOT,0.0,0.0,25.756383,25.756383,0.0
FRCC,0.0,0.0,20.269759,20.269759,0.0
ISONE,0.0,0.0,14.160438,14.160438,14.160438
MISO,0.0,0.0,0.0,0.0,0.0
NYISO,0.0,0.0,0.0,0.0,21.99486
NorthernGridConnected,0.0,0.0,16.095613,0.0,0.0
NorthernGridUnconnected,0.0,0.0,0.0,4.593872,4.593872
NotOrder1000,0.0,0.0,2.506448,2.506448,2.506448
PJM,0.0,0.0,0.0,65.742117,65.742117
SCRTP,0.0,2.695532,0.0,0.0,2.695532
SERTP,0.0,39.959158,0.0,0.0,39.959158
SPP,0.0,0.0,14.3423,14.3423,0.0
WestConnect,0.0,9.947333,0.0,0.0,9.947333
WestConnectNonEnrolled,0.0,0.0,0.0,0.0,0.0
