REGIONS,perc0,perc15,perc30,perc45,perc60
CAISO,0.0,0.0,0.0,0.0,8.32
ERCOT,0.0,0.0,4.74,4.74,0.0
FRCC,0.0,0.0,3.2,3.2,0.0
ISONE,0.0,0.0,2.91,2.91,2.91
MISO,0.0,0.0,0.0,0.0,0.0
NYISO,0.0,0.0,0.0,0.0,5.26
NorthernGridConnected,0.0,0.0,3.18,0.0,0.0
NorthernGridUnconnected,0.0,0.0,0.0,0.84,0.84
NotOrder1000,0.0,0.0,0.4,0.4,0.4
PJM,0.0,0.0,0.0,11.79,11.79
SCRTP,0.0,0.38,0.0,0.0,0.38
SERTP,0.0,6.13,0.0,0.0,6.13
SPP,0.0,0.0,2.34,2.34,0.0
WestConnect,0.0,1.63,0.0,0.0,1.63
WestConnectNonEnrolled,0.0,0.0,0.0,0.0,0.0
