REGIONS,perc0,perc15,perc30,perc45,perc60
CAISO,0.0,0.0,0.0,0.0,36.67
ERCOT,0.0,0.0,25.76,25.76,0.0
FRCC,0.0,0.0,20.27,20.27,0.0
ISONE,0.0,0.0,14.16,14.16,14.16
MISO,0.0,0.0,0.0,0.0,0.0
NYISO,0.0,0.0,0.0,0.0,21.99
NorthernGridConnected,0.0,0.0,16.1,0.0,0.0
NorthernGridUnconnected,0.0,0.0,0.0,4.59,4.59
NotOrder1000,0.0,0.0,2.51,2.51,2.51
PJM,0.0,0.0,0.0,65.74,65.74
SCRTP,0.0,2.7,0.0,0.0,2.7
SERTP,0.0,39.96,0.0,0.0,39.96
SPP,0.0,0.0,14.34,14.34,0.0
WestConnect,0.0,9.95,0.0,0.0,9.95
WestConnectNonEnrolled,0.0,0.0,0.0,0.0,0.0
